Pitch,Yaw,Roll,asana_id
-0.2471922475412144,-0.1731714589890803,-1.5029892856672358,YFA0047
-0.2460193183133633,-0.1765591240528454,-1.507375212005867,YFA0047
-0.2458328471009027,-0.1870835498761047,-1.5103507413318014,YFA0047
-0.2454502112715191,-0.2069301260969266,-1.5159051912352406,YFA0047
-0.2456384207153069,-0.197366513069621,-1.51126328365686,YFA0047
-0.2437428042384194,-0.2058961205942754,-1.514450134371605,YFA0047
-0.2459927401032499,-0.1931008037495968,-1.5104758875237625,YFA0047
-0.2467535850548982,-0.1919281198321109,-1.5067713502612807,YFA0047
-0.2469753186517243,-0.1898768482574952,-1.5051057623629542,YFA0047
-0.2456606429099875,-0.1875534567482526,-1.5039695029906703,YFA0047
-0.2445834162264102,-0.1838062377434096,-1.5031349372070315,YFA0047
-0.2443542166454126,-0.1797278501279919,-1.5023821835246502,YFA0047
-0.2435008815546681,-0.1762701876475988,-1.4994039157596573,YFA0047
-0.244503929173465,-0.1751214675121274,-1.499890109029279,YFA0047
-0.2445923737988515,-0.1685660807548763,-1.4973415048497711,YFA0047
-0.2444801046618573,-0.1565228178815317,-1.4955235185802116,YFA0047
-0.2456375448211784,-0.1444311751371749,-1.495314411254,YFA0047
-0.2460230763939235,-0.1531384386460553,-1.5007793299706955,YFA0047
-0.24360447880824,-0.1557366191669294,-1.5029231860435883,YFA0047
-0.2441256266755091,-0.1498032068385733,-1.50266963281172,YFA0047
-0.242536251983378,-0.1535383348914183,-1.5056238191465927,YFA0047
-0.2435717836898915,-0.154391283191539,-1.5067488874743495,YFA0047
-0.2436733838912436,-0.1627334530004893,-1.5097752742385393,YFA0047
-0.244421028583494,-0.1574272986010951,-1.5090570488176125,YFA0047
-0.2425153833245031,-0.1596512803741866,-1.5089557787277277,YFA0047
-0.2419914846805655,-0.159896071563773,-1.5072264531209687,YFA0047
-0.2400767604738914,-0.1647162925176359,-1.5069235614291772,YFA0047
-0.2459555407833716,-0.1532326766382637,-1.507041161716978,YFA0047
-0.2488818567949421,-0.1370495813683196,-1.5047290083839688,YFA0047
-0.2482013742083126,-0.125698261253027,-1.5012824177960762,YFA0047
-0.2463649939162528,-0.131113679203982,-1.501686389086445,YFA0047
-0.2470875432869724,-0.1285665627505604,-1.5019242435621922,YFA0047
